date,category,name,ticker,units,nav_at_purchase,current_nav
09-01-2023,Mutual Fund,Motital Oswal Nasdaq100 ETF,MON100.NS,1402,113,241.99
03-01-2024,Mutual Fund,Motital Oswal Nasdaq100 ETF,MON100.NS,223,147,241.99
25-10-2025,Mutual Fund,Mirae AI Fund,,6556,26.48,26.48
25-10-2025,Mutual Fund,ICICI Pru Small Cap 250,0P0001NJAX.BO,2639,17.69,17.613
01-05-2023,REIT,NEXUS,NXST.BO,149,124.97,163.19
01-05-2023,REIT,EMBASSY,EMBASSY.BO,72,328.04,434.09
01-05-2023,REIT,BROOKFIELDS,BIRET.BO,42,273.21,344.72
01-05-2023,Commodity,SILVERBEES.NS,SILVERBEES.NS,36,70.8,138.75
01-09-2023,Commodity,SILVERBEES.NS,SILVERBEES.NS,70,71,138.75
01-05-2023,Commodity,GOLDBEES.NS,GOLDBEES.NS,705,57.33,100.42
01-09-2023,Commodity,GOLDBEES.NS,GOLDBEES.NS,400,51,100.42
17-05-2024,Commodity,GOLDBEES.NS,GOLDBEES.NS,423,61.94,100.42
01-05-2023,Ind_Stock,BEL.NS,BEL.NS,50,109.36,415.15
14-05-2024,Ind_Stock,BEL.NS,BEL.NS,113,223.1,415.15
17-05-2024,Ind_Stock,BEL.NS,BEL.NS,85,243.4,415.15
23-09-2024,Ind_Stock,BEL.NS,BEL.NS,276,284,415.15
21-01-2025,Ind_Stock,BEL.NS,BEL.NS,16,284.8,415.15
01-05-2023,Ind_Stock,SCHNEIDER.NS,SCHNEIDER.NS,50,192,862.4
23-09-2024,Ind_Stock,SCHNEIDER.NS,SCHNEIDER.NS,25,784,862.4
01-05-2023,Ind_Stock,RELIANCE.NS,RELIANCE.NS,48,1191.01,1484.1
14-05-2024,Ind_Stock,RELIANCE.NS,RELIANCE.NS,12,1391.2,1484.1
17-05-2024,Ind_Stock,RELIANCE.NS,RELIANCE.NS,28,1418.95,1484.1
23-09-2024,Ind_Stock,RELIANCE.NS,RELIANCE.NS,52,1498.5,1484.1
